imdb_id,title,duration,genre,rating,vote_count,gross,year
tt0242795,Come Undone,98,"['Drama, Romance']",6.7,4748,8867,2000
tt0270560,Our Lips Are Sealed,89,"['Comedy, Crime, Family']",5.2,4521,,2000
tt0198386,The Crew,88,"['Comedy, Crime']",5.6,4463,13019253,2000
tt0182295,Love's Labour's Lost,93,"['Romance, Comedy, Musical']",6.0,4349,284291,2000
tt0167203,I Dreamed of Africa,114,"['Adventure, Biography, Drama']",5.7,4347,6543194,2000
tt0163676,The In Crowd,105,"['Drama, Mystery, Thriller']",4.8,4254,5217498,2000
tt0211492,The Luzhin Defence,109,"['Drama, Romance']",6.8,4211,1051811,2000
tt0200669,The Golden Bowl,130,"['Drama, Romance']",5.9,4190,3037579,2000
tt0251433,Time and Tide,113,"['Action, Crime, Drama']",6.9,4173,93817,2000
tt0212815,Big Eden,118,"['Comedy, Drama, Romance']",7.3,4113,512451,2000
tt0212974,Groove,86,"['Drama, Music']",6.6,4030,1114943,2000
tt0174336,Whipped,82,"['Comedy, Romance']",4.6,3921,4142507,2000
tt0120467,Vulgar,87,"['Crime, Drama, Thriller']",5.3,3915,14904,2000
tt0194368,Chain of Fools,98,"['Comedy, Crime']",6.1,3880,,2000
tt0118852,Chinese Coffee,99,['Drama'],7.1,3858,,2000
tt0243135,Happenstance,90,"['Comedy, Drama, Romance']",6.8,3782,125717,2000
tt0191996,Essex Boys,102,"['Crime, Thriller']",6.1,3778,,2000
tt0205461,Thomas and the Magic Railroad,85,"['Adventure, Comedy, Drama']",4.1,3724,15911333,2000
tt0223268,Faust,98,"['Drama, Fantasy, Horror']",4.3,3693,,2000
tt0217355,Dancing at the Blue Iguana,123,"['Drama, Mystery']",5.7,3662,30181,2000
tt0210567,Beautiful,112,"['Comedy, Drama']",5.6,3653,3060963,2000
tt0144142,Committed,98,"['Comedy, Drama']",5.1,3625,40361,2000
tt0238660,There's Only One Jimmy Grimble,106,"['Comedy, Drama, Sport']",6.6,3586,,2000
tt0204932,Den bästa sommaren,91,"['Comedy, Drama, Family']",7.3,3542,,2000
tt0192455,Picking Up the Pieces,95,"['Comedy, Crime, Fantasy']",4.8,3454,,2000
tt0221889,Beautiful Creatures,86,"['Comedy, Thriller, Crime']",5.9,3437,55381,2000
tt0207524,How to Kill Your Neighbor's Dog,107,"['Comedy, Drama']",6.8,3424,48564,2000
tt0210299,Songcatcher,109,"['Drama, Music']",7.2,3228,3050934,2000
tt0209322,Skipped Parts,100,"['Comedy, Drama, Romance']",6.3,3217,,2000
tt0186183,The Guilty,108,"['Crime, Drama, Thriller']",6.2,3212,,2000
tt0221069,Chasing Sleep,104,"['Drama, Horror, Mystery']",6.3,3196,,2000
